Year,DOI,Publication
2015,10.1016/j.astropartphys.2014.11.006,"Nelles A., Schellart P., Buitink S., et al., 2015, APh, 65, 11, Measuring a Cherenkov ring in the radio emission from air showers at 110-190 MHz with LOFAR"
2015,10.1051/0004-6361/201425186,"Noutsos A., Sobey C., Kondratiev V. I., et al., 2015, A&A, 576, A62, Pulsar polarisation below 200 MHz: Average profiles and propagation effects"
2015,10.1051/0004-6361/201424504,"Garsden H., Girard J. N., Starck J. L., et al., 2015, A&A, 575, A90, LOFAR sparse image reconstruction"
2015,10.1016/j.astropartphys.2014.06.001,"Corstanje A., Schellart P., Nelles A., et al., 2015, APh, 61, 22, The shape of the radio wavefront of extensive air showers as measured with LOFAR"
2015,10.1051/0004-6361/201425089,"Varenius E., Conway J. E., Marti-Vidal I., et al., 2015, A&A, 574, A114, Subarcsecond international LOFAR radio images of the M82 nucleus at 118 MHz and 154 MHz"
2015,10.1051/0004-6361/201425042,"Moldon J., Deller A. T., Wucknitz O., et al., 2015, A&A, 574, A73, The LOFAR long baseline snapshot calibrator survey"
2015,10.1016/j.astropartphys.2014.05.001,"Nelles A., Buitink S., Falcke H., et al., 2015, APh, 60, 13, A parameterization for the radio emission of air showers as predicted by CoREAS simulations and applied to LOFAR measurements"
2015,10.1103/PhysRevLett.114.165001,"Schellart, P.; Trinh, T. N. G.; Buitink, S., et al., 2015, PhysRevLett, vol 114, issue 16, id.165001, Probing Atmospheric Electric Fields in Thunderstorms through Radio Emission from Cosmic-Ray-Induced Air Showers "
2015,10.1088/1748-0221/10/11/P11005,"Nelles, A.; Hörandel, J. R.; Karskens, T., et al. 2015, Journal of Instrumentation, Vol 10, issue 11, article P11005, Calibrating the absolute amplitude scale for air showers measured at LOFAR "
2016,10.1093/mnras/stw1501,"Morabito L. K., Deller A. T., Rottgering H.  et al., 2016, MNRAS, 461, 2676, LOFAR VLBI studies at 55 MHz of 4C 43.15, az= 2.4 radio galaxy"
2016,10.1002/2016RS006028,"Mevius M., van der Tol S., Pandey V. N. et al., 2016, Radio Science, 51, Probing Ionospheric Structures using the LOFAR radio telescope"
2016,10.1093/mnras/stw1056,"Williams W. L., van Weeren R. J., Rottgering H. J. A. et al., 2016, MNRAS, 460, 2385, LOFAR 150-MHz observations of the Boötes field: catalogue and source counts"
2016,10.1051/0004-6361/201628446 ,"Mulcahy D. D., Fletcher A., Beck R. et al., 2016, A&A, 592, A123, Modelling the cosmic ray electron propagation in M 51"
2016,10.1093/mnras/stw794 ,"Broderick J. W., Fender R. P., Breton R. P. et al., 2016, MNRAS, 459, 2681, Low-radio-frequency eclipses of the redback pulsar J2215+5135 observed in the image plane with LOFAR"
2016,10.1051/0004-6361/201527809 ,"Corstanje A., Buitink S., Enriquez J. E. et al., 2016, A&A, 590, A41, Timing calibration and spectral cleaning of LOFAR time series data"
2016,10.1093/mnras/stw661,"Shimwell T. W., Luckin J., Bruggen M. et al., 2016, MNRAS, 459, 277, A plethora of diffuse steep spectrum radio sources in Abell 2034 revealed by LOFAR"
2016,10.1093/mnras/stw656,"Lyon R. J., Stappers B. W., Cooper S., et al., 2016, MNRAS, 459, 1104, Fifty years of pulsar candidate selection: from simple filters to a new principled real-time classification approach"
2016,10.1093/mnras/stw638,"Harwood J. J. Croston J. H. Intema, H. T. et al., 2016, MNRAS, 458, 4443, FR II radio galaxies at low frequencies I: morphology, magnetic field strength and energetics"
2016,10.3847/0004-637X/818/2/204,"van Weeren R. J., Brunetti G., Bruggen M. et al., 2016, ApJ, 818, LOFAR, VLA, and Chandra Observations of the Toothbrush Galaxy Cluster"
2016,10.3847/0067-0049/223/1/2 ,"van Weeren R. J., Williams W. L., Hardcastle M. J. et al., 2016, ApJS, 223, LOFAR Facet Calibration"
2016,10.1038/nature16976 ,"Buitink S., Corstanje A., Falcke H. et al., 2016, Nature, 530, A large light-mass component of cosmic rays at 1017–1017.5 electron-volts from radio observations"
2016,10.1093/mnras/stv2797,"Stewart A. J., Fender R. P., Broderick J. W., et al., 2016, MNRAS,  456, 2321, LOFAR MSSS: detection of a low-frequency radio transient in 400 h of monitoring of the North Celestial Pole"
2016,10.1051/0004-6361/201527518 ,"Girard J. N., Zarka P., Tasse C., et al., 2016, A&A,  587, A3, Imaging Jupiter's radiation belts down to 127 MHz with LOFAR"
2016,10.1093/mnras/stv2771 ,"Marcote B., Ribo M., Paredes J. M., et al., 2016, MNRAS,  456, 1791, Orbital and superorbital variability of LS I +61 303 at low radio frequencies with GMRT and LOFAR "
2016,10.1051/0004-6361/201425196 ,"Pilia M., Hessels J. W. T., Stappers B. W., et al., 2016, A&A,  586, A92, Wide-band, low-frequency pulse profiles of 100 radio pulsars with LOFAR"
2016,10.1016/j.astropartphys.2015.06.005,"Thoudam S., Buitink S., Corstanje A., et al., 2016, APh,  73, 34, Measurement of the cosmic-ray energy spectrum above 10^{16} eV with the LOFAR Radboud Air Shower Array"
2016,10.1051/0004-6361/201527178,"Kondratiev V. I., Verbiest J. P. W., Hessels J. W. T., et al., 2016, A&A,  585, A128, A LOFAR census of millisecond pulsars"
2016,10.1051/0004-6361/201526754,"Brienza M., Godfrey L., Morganti R., et al., 2016, A&A,  585, A29, LOFAR discovery of a 700-kpc remnant radio galaxy at low redshift"
2016,10.1093/mnras/stw2225 ,"Mahony, E. K., Morganti, R., Prandoni, I., et al., 2016,MNRAS, Volume 463, Issue 3, p.2997-3020, The Lockman Hole project: LOFAR observations and spectral index properties of low-frequency radio sources"
2016,10.1093/mnras/stw2065,"Burningham, Ben, Hardcastle, M., Nichols, J. D., et al., 2016, MNRAS, vol. 463, issue 2, pp. 2202-2209, A LOFAR mini-survey for low-frequency radio emission from the nearest brown dwarfs"
2016,10.3847/0004-637X/831/1/21,"Mereghetti, S., Kuiper, L., Tiengo, A., et al., 2016, ApJ, Volume 831, Issue 1, article id. 21, 16 pp. (2016)., A Deep Campaign to Characterize the Synchronous Radio/X-Ray Mode Switching of PSR B0943+10"
2016,10.1093/mnras/stw1763,"Hardcastle, M. J., Gürkan, G., van Weeren, R. J., et al., 2016, MNRAS, Volume 462, Issue 2, p.1910-1936, LOFAR/H-ATLAS: a deep low-frequency survey of the Herschel-ATLAS North Galactic Pole field"
2016,10.3847/2041-8205/828/1/L7,"Fallows, R. A., Bisi, M. M., Forte, B., et al., 2016, ApJL, Volume 828, Issue 1, article id. L7, 6 pp. (2016)., Separating Nightside Interplanetary and Ionospheric Scintillation with LOFAR"
2016,10.1051/0004-6361/201628702,"Varenius, E., Conway, J. E., Martí-Vidal, I., et al., 2016, A&A, Volume 593, id.A86, 18 pp., Subarcsecond international LOFAR radio images of Arp 220 at 150 MHz. A kpc-scale star forming disk surrounding nuclei with shocked outflows"
2016,10.1093/mnras/stw2105,"McKean, J. P., Godfrey, L. E. H., Vegetti, S., et al., 2016, MNRAS, Volume 463, Issue 3, p.3143-3150, LOFAR imaging of Cygnus A - direct detection of a turnover in the hotspot radio spectra"
2016,10.3847/0004-637X/830/1/24 ,"Crosley, M. K., Osten, R. A., Broderick, J. W., et al., 2016, ApJ, Volume 830, Issue 1, article id. 24, 11 pp. (2016)., The Search for Signatures of Transient Mass Loss in Active Stars"
2016,10.1093/mnras/stw2277,"Patil, Ajinkya H., Yatawatta, Sarod, Zaroubi, Saleem, et al., 2016, MNRAS, Advance Access, Systematic biases in low frequency radio interferometric data due to calibration: the LOFAR EoR case"
2016,10.1051/0004-6361/201628348 ,"Mikhailov, K., van Leeuwen, J., , 2016, A&A, Volume 593, id.A21, 6 pp., The LOFAR search for radio pulsars and fast transients in M 33, M 81, and M 82"
2016,10.1093/mnras/stw539 ,"Carbone, D., van der Horst, A. J., Wijers, R. A. M. J., et al., 2016, MNRAS, Volume 459, Issue 3, p.3161-3174, New methods to constrain the radio transient rate: results from a survey of four fields with LOFAR"
2016,10.3847/0067-0049/225/1/8,"Abbott, B. P., Abbott, R., Abbott, T. D., et al., 2016, The ApJ Supplement Series, Volume 225, Issue 1, article id. 8, 15 pp. (2016)., Supplement: “Localization and Broadband Follow-up of the Gravitational-wave Transient GW150914” (2016, ApJL, 826, L13)"
2016,10.1051/0004-6361/201527702,"Bilous, A. V., Kondratiev, V. I., Kramer, M., et al., 2016, A&A, Volume 591, id.A134, 34 pp., A LOFAR census of non-recycled pulsars: average profiles, dispersion measures, flux densities, and spectra"
2016,10.1088/1742-6596/718/5/052035 ,"Rossetto, L., Buitink, S., Corstanje, A., et al., 2016, Journal of Physics: Conference Series, Volume 718, Issue 5, article id. 052035 (2016)., Measurement of cosmic rays with LOFAR"
2016,10.1103/PhysRevD.93.023003 ,"Trinh, T. N. G., Scholten, O., Buitink, S., et al., 2016, Physical Review D, Volume 93, Issue 2, id.023003, Influence of atmospheric electric fields on the radio emission from extensive air showers"
2016,10.1051/0004-6361/201629016,"Jackson, N., Tagore, A., Deller, A., et al., 2016, A&A, Volume 595, A86, LBCS: The LOFAR Long-Baseline Calibrator Survey

"
2016,10.1103/PhysRevD.94.103010,"Scholten, O., Trinh, T. N. G., Bonardi, A., et al. 2016, Physical Review D, Volume 94, Issue 10, id. 103010, Measurement of the circular polarization in radio emission from extensive air showers confirms emission mechanisms"
2016,10.1093/mnras/stv2993,"Vrbanec, D., Ciardi, B., Jelić, V., et al., 2016, MNRAS, Volume 457, Issue 1, p.666-675, Predictions for the 21 cm-galaxy cross-power spectrum observable with LOFAR and Subaru"
2017,10.1051/0004-6361/201629707,"Van Eck, C. L., Haverkorn, M., Alves, M., et al., 2017, A&A, Volume 597, id.A98, 17pp., Faraday tomography of the local interstellar medium with LOFAR: Galactic foregrounds towards IC 342"
2017,10.3847/1538-4357/834/2/206,"Coughlan, C. P., Ainsworth, R. E., Eislöffel, J., et al., 2017, ApJ, Volume 834, Issue 2, article id. 206, 8 pp., A LOFAR Detection of the Low-mass Young Star T Tau at 149 MHz"
2017,10.1051/0004-6361/201629313,"Shimwell, T.W., Röttgering, H.J.A., Best, P.N., et al., 2017, A&A, Volume 598, id.A104, The LOFAR Two-metre Sky Survey. I. Survey description and preliminary data release"
2017,10.1093/mnras/stw2818,"Oonk, J.B.R., van Weeren, R.J., Salas, P., et al., 2017, MNRAS, Volume 465, p.1066, Carbon and hydrogen radio recombination lines from the cold clouds towards Cassiopeia A"
2017,10.1051/0004-6361/201630008,"Shulevski A., Morganti R., Harwood J.J., et al., 2017, A&A, Volume 600, id.A65, Radiative age mapping of the remnant radio galaxy B2 0924+30: the LOFAR perspective"
2017,10.3847/1538-4357/aa63e7,"Patil A.H., Yatawatta S., Koopmans, L.V.E., et al., 2017, ApJ, Volume 838, id.65, Upper Limits on the 21 cm Epoch of Reionization Power Spectrum from One Night with LOFAR"
2017,10.1093/mnras/stx239,"Salas, P., Oonk, J.B.R., van Weeren, R.J., et al., 2017, MNRAS, Volume 467, p.2274, LOFAR observations of decameter carbon radio recombination lines towards Cassiopeia A"
2017,10.1093/mnras/stx959,"Morabito, L.K, Williams, W.L., Duncan, K.J., et al., 2017, MNRAS, Volume 469, Issue 2, p.1883, Investigating the unification of LOFAR-detected powerful AGN in the Boötes field"
2017,10.1093/mnras/stx1040,"Calistro Rivera, G.; Williams, W. L.; Hardcastle, M. J., et al. 2017, MNRAS, Volume 469, Issue 3, p.3468, The LOFAR window on star-forming galaxies and AGNs - curved radio SEDs and IR-radio correlation at 0〈z〈2.5 "
2017,10.1093/mnras/stx1151,"Geyer, M.; Karastergiou, A.; Kondratiev, V. I., et al., MNRAS, Volume 470, Issue 3, p.2659, Scattering analysis of LOFAR pulsar observations "
2017,10.1051/0004-6361/201630152,"Clarke, A. O.; Heald, G.; Jarrett, T.; Bray, J. D., et al., A&A, Volume 601, A25, LOFAR MSSS: Discovery of a 2.56 Mpc giant radio galaxy associated with a disturbed galaxy group "
2017,10.1016/j.ascom.2017.04.001,"Sabater, J.; Sánchez-Expósito, S.; Best, P. et al., Astronomy and Computing, Volume 19, p.75, Calibration of LOFAR data on the cloud "
2017,10.1093/mnras/stx1645,"Hoang, D. N.; Shimwell, T. W.; Stroe, A., et al., MNRAS Volume 471, Issue 1, p.1107-1125, Deep LOFAR observations of the merging galaxy cluster CIZA J2242.8+5301"
2017,10.3847/2041-8213/aa8400,"Bassa, C. G.; Pleunis, Z.; Hessels, J. W. T.; et al., ApJ Volume 846, Issue 2, article id. L20, LOFAR Discovery of the Fastest-spinning Millisecond Pulsar in the Galactic Field "
2017,10.3847/2041-8213/aa83ff,"Pleunis, Z.; Bassa, C. G.; Hessels, J. W. T.; et al., ApJ Volume 846, Issue 2, article id. L19, A Millisecond Pulsar Discovery in a Survey of Unidentified Fermi γ-Ray Sources with LOFAR "
2017,10.1051/0004-6361/201730940,"Kokotanekov, G.; Wise, M.; Heald, G. H.; et al., Volume 605, id.A48, LOFAR MSSS: The scaling relation between AGN cavity power and radio luminosity at low radio frequencies"
2017,10.1051/0004-6361/201630014,"Venturi, T.; Rossetti, M.; Brunetti, G.; et al., The two-component giant radio halo in the galaxy cluster Abell 2142 "
2017,10.1553/PRE8s301,"Turner, Jake D.; Grießmeier, Jean-Mathias; Zarka, Philippe; Vasylieva, Iaroslavna, 2017,  in ""Planetary Radio Emissions VIII"" (refereed proceedings) "
2017,10.3847/1538-4357/aa8994,"Swiggum, J. K.; Kaplan, D. L.; McLaughlin, M. A., et al., Astrophysical Journal, Volume 847, Issue 1, article id. 25, A Multiwavelength Study of Nearby Millisecond Pulsar PSR J1400-1431: Improved Astrometry and an Optical Detection of Its Cool White Dwarf Companion "
2017,10.1038/s41550-017-0223-0,"Morganti, R., Nature Astronomy, Volume 1, p. 596-605,  Archaeology of active galaxies across the electromagnetic spectrum"
2017,10.1051/0004-6361/201629996,"Morosan, D. E.; Gallagher, P. T.; Fallows, R. A., et al., Astronomy & Astrophysics, Volume 606, id.A81, The association of a J-burst with a solar jet "
